site_3,Changing voltage for T5UJR1ZZYFJK41HZ from site_3 to set_normal_voltage,2024-11-13 11:14:54_050
site_2,Changing board state to Standby_active,2024-11-13 11:15:00_573
site_2,Changing voltage for WB61MOC9PIELTSVH from site_2 to set_high_voltage,2024-11-13 11:15:09_628
site_1,Changing voltage for ADDE1L4R0121OYPA from site_1 to set_normal_voltage,2024-11-13 11:15:14_575
site_2,Changing voltage for HF0095G5ZSE71LPW from site_2 to set_normal_voltage,2024-11-13 11:15:20_408
site_2,Changing voltage for ZBCWN99YB8LGS3VM from site_2 to set_high_voltage,2024-11-13 11:15:30_986
site_3,Changing voltage for OQHNIXZ90862PJUM from site_3 to set_low_voltage,2024-11-13 11:15:50_031
site_1,Changing board state to Standby_failed,2024-11-13 11:15:51_221
site_1,Changing board state to Standby_active,2024-11-13 11:16:04_941
site_2,Changing board state to Standby_failed,2024-11-13 11:16:07_645
site_2,Changing voltage for B1SG8MHI80T0CVDH from site_2 to set_normal_voltage,2024-11-13 11:16:11_344
site_3,Changing board state to Standby_active,2024-11-13 11:16:16_289
site_1,Changing board state to Standby_failed,2024-11-13 11:16:20_875
site_2,Changing board state to Standby_active,2024-11-13 11:16:30_883
site_2,Changing voltage for 9RNLLD37J2ZWNSE3 from site_2 to set_normal_voltage,2024-11-13 11:16:43_472
site_1,Changing board state to Standby_active,2024-11-13 11:16:49_389
site_2,Changing board state to Standby_failed,2024-11-13 11:16:49_643
site_3,Changing voltage for O2M1R8W4OVMVVD5X from site_3 to set_normal_voltage,2024-11-13 11:17:10_598
site_2,Changing voltage for B7VFEWT0OKM5DQIR from site_2 to set_normal_voltage,2024-11-13 11:17:12_607
site_2,Changing board state to Standby_active,2024-11-13 11:17:27_947
site_3,Changing voltage for ILUMB0OO54XQZVKS from site_3 to set_low_voltage,2024-11-13 11:17:37_380
site_2,Changing voltage for 17TCSBW8YLCODGUM from site_2 to set_low_voltage,2024-11-13 11:17:52_855
site_2,Changing board state to Standby_failed,2024-11-13 11:18:02_985
site_3,Changing voltage for 15U1DLXXWQDQEX64 from site_3 to set_high_voltage,2024-11-13 11:18:06_470
site_1,Changing voltage for 6VXRFNQMF64GE8TG from site_1 to set_high_voltage,2024-11-13 11:18:21_193
site_1,Changing board state to Standby_failed,2024-11-13 11:18:21_638
site_1,Changing board state to Standby_active,2024-11-13 11:18:41_710
site_3,Changing board state to Standby_failed,2024-11-13 11:18:55_210
site_2,Changing board state to Standby_active,2024-11-13 11:19:02_773
site_3,Changing voltage for 2ZX7LHTHPMDTFP30 from site_3 to set_low_voltage,2024-11-13 11:19:06_092
site_2,Changing voltage for OQDLLBG1122HJ4B4 from site_2 to set_normal_voltage,2024-11-13 11:19:10_604
site_1,Changing board state to Standby_failed,2024-11-13 11:19:16_027
site_1,Changing board state to Standby_active,2024-11-13 11:19:21_055
site_1,Changing voltage for XV8R5XDGVYUKDD7W from site_1 to set_high_voltage,2024-11-13 11:19:53_535
_,Exiting chaos monkey,2024-11-13 11:19:59_488
