timestamp,uuid,site,fixed_detected,event_type,sn
2024-12-07 14:30:33_959,9babd212-4426-4deb-b88f-ade6dafeacbc,site_7,fixed,gemport,2Y2FYT4UD6OSSCWJ
2024-12-07 14:30:45_053,39f96614-bc52-4e41-b6b3-ecb99d18b24d,site_7,fixed,vlan_type,QRJP94RG06U8UWSC
2024-12-07 14:30:47_067,142bf5b7-78d3-44e5-86ed-90a524baa8b1,site_7,fixed,service changed,ftp-client
2024-12-07 14:30:58_114,b3894a38-63a8-46de-bdaa-4c27c3cce7b1,site_7,fixed,service changed,ssh
2024-12-07 14:31:01_695,2ab961cb-0003-4b8e-9c5f-c704b51d2422,site_4,detected,service changed,snmp
2024-12-07 14:31:01_695,e04531f8-0271-469f-9dbd-d3d4b4c2b3f3,site_4,detected,service changed,twamp
2024-12-07 14:31:01_695,639091e4-1d1d-4b8a-8155-a2d0dacc46c1,site_4,detected,service changed,web-proxy
2024-12-07 14:31:17_209,2ab961cb-0003-4b8e-9c5f-c704b51d2422,site_4,fixed,service changed,snmp
2024-12-07 14:31:19_221,639091e4-1d1d-4b8a-8155-a2d0dacc46c1,site_4,fixed,service changed,web-proxy
2024-12-07 14:31:21_230,e04531f8-0271-469f-9dbd-d3d4b4c2b3f3,site_4,fixed,service changed,twamp
2024-12-07 14:31:45_317,877b8e19-e3c9-4d7f-bf39-e0ed906a61bb,site_7,fixed,c_vlan,3EW0CWX46TAPWDZ3
2024-12-07 14:31:54_349,d36dbb55-b526-4a18-848b-726c85cb3ef6,site_7,fixed,c_vlan,P3D20LT6DTV7R1RS
2024-12-07 14:32:13_406,2e364b2c-2d0e-46a4-aec9-d915b36f5f3c,site_7,fixed,c_vlan,CC37AG5XN1VLWYST
2024-12-07 14:32:15_411,4ab737af-9970-4c9a-b8ed-6478c157b1bb,site_7,fixed,vlan_type,EVJCGOKASVBO85S7
2024-12-07 14:32:29_689,1ed3822f-fe17-4714-8642-dec9dd972da4,site_5,detected,service changed,mqtt
2024-12-07 14:32:29_689,5e2d5541-c503-4580-b9de-9d61f18ce864,site_5,detected,service changed,web-proxy
